"OCUPACION","OCUPACION.NOMBRE","SALARIO","CLASE.SEGURO","X..orden","CAMBIO"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2292791.50","C",128,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7236749.96","C",228,"SA"
3224,"Técnicos y asistentes en farmacia","1259030.65","C",13,"SA"
3224,"Técnicos y asistentes en farmacia","1871052.25","C",4,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5638258.25","C",22,"SA"
2222,"Odontólogos","3819319.00","C",10,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","5546312.10","C",17,"SCS"
2227,"Médico Especialista","6350258.65","C",71,"SA"
2227,"Médico Especialista","2150547.00","C",4,"SCS"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2257679.00","C",135,"SCS"
2222,"Odontólogos","3250635.20","C",13,"SCS"
2229,"Otros profesionales en ciencias de la salud","1599589.50","C",38,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1075760.00","C",27,"SCS"
3139,"Otros técnicos en informática","938100.00","C",65,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1027850.00","C",62,"SCS"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","915247.45","C",8,"SA"
5132,"Ayudantes de enfermería","1593052.00","C",157,"SA"
7125,"Encargado de Mantenimiento de Edificios","1137836.39","C",36,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2580924.50","C",26,"SCS"
3224,"Técnicos y asistentes en farmacia","1031284.79","C",42,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1250131.85","C",203,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5218862.10","C",14,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","832200.00","C",56,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","801925.05","C",38,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4969973.00","C",6,"SCS"
3189,"Otros supervisores de personal","870196.10","C",46,"SA"
2221,"Médicos generales y especialistas","3493063.45","C",40,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","888300.00","C",32,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1130420.00","C",9,"SCS"
7125,"Encargado de Mantenimiento de Edificios","763360.00","C",9,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","750887.85","C",108,"SA"
3189,"Otros supervisores de personal","1392506.27","C",42,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","894040.00","C",7,"SCS"
3233,"Técnicos en operación de equipo para diagnóstico médico (Operadores electrocardiografía, electroencefalografía, etc.) ","994400.00","C",30,"SCS"
2227,"Médico Especialista","3898638.10","C",13,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1550348.85","C",5,"SCS"
2227,"Médico Especialista","5367476.85","C",317,"SA"
2132,"Programadores informáticos ","1236280.00","C",28,"SA"
2221,"Médicos generales y especialistas","4342678.45","C",7,"SCS"
5132,"Ayudantes de enfermería","686981.83","C",134,"SA"
3229,"Otros técnicos de las ciencias de la salud","110931.40","C",30,"SA"
7125,"Encargado de Mantenimiento de Edificios","574286.20","C",16,"SA"
7125,"Encargado de Mantenimiento de Edificios","601931.25","C",1,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","782040.00","C",32,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1262338.50","C",40,"SA"
7125,"Encargado de Mantenimiento de Edificios","676155.00","C",7,"SCS"
9155,"Ayudante de cocina","490814.32","C",132,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5212348.50","C",13,"SA"
2227,"Médico Especialista","3461591.40","C",20,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","5660396.70","C",71,"SCS"
9152,"Guardianes y porteros ","790221.00","C",9,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","9215699.05","C",3,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4944447.25","C",61,"IC"
2227,"Médico Especialista","3824685.30","C",96,"SA"
3226,"Auxiliares de enfermería","1655572.50","C",537,"SA"
3122,"Técnicos y asistentes en estadística y demografía","661056.40","C",18,"SA"
7125,"Encargado de Mantenimiento de Edificios","753375.00","C",28,"SCS"
3229,"Otros técnicos de las ciencias de la salud","2307958.05","C",25,"SA"
2227,"Médico Especialista","1648407.20","C",72,"SA"
7125,"Encargado de Mantenimiento de Edificios","661779.65","C",7,"SA"
5132,"Ayudantes de enfermería","1175414.61","C",130,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","1461029.00","C",17,"SA"
3229,"Otros técnicos de las ciencias de la salud","1227270.94","C",1,"SA"
5132,"Ayudantes de enfermería","1062543.52","C",42,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","820260.00","C",1,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3855100.80","C",114,"SA"
2449,"Otros profesionales en ciencias sociales","2033215.00","C",159,"SCS"
2449,"Otros profesionales en ciencias sociales","1593013.50","C",16,"SCS"
7125,"Encargado de Mantenimiento de Edificios","753375.00","C",54,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1045390.00","C",137,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1984884.50","C",5,"SCS"
3226,"Auxiliares de enfermería","762132.00","C",7,"SA"
9155,"Ayudante de cocina","821725.80","C",44,"SA"
2449,"Otros profesionales en ciencias sociales","1602237.00","C",74,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3237129.50","C",42,"SCS"
2221,"Médicos generales y especialistas","3360220.10","C",57,"SCS"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1105936.00","C",19,"SCS"
9155,"Ayudante de cocina","848018.00","C",48,"SA"
5132,"Ayudantes de enfermería","903917.70","C",176,"SA"
5132,"Ayudantes de enfermería","843212.55","C",4,"SA"
3224,"Técnicos y asistentes en farmacia","1653117.80","C",12,"SA"
5132,"Ayudantes de enfermería","878310.65","C",6,"SA"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2873859.70","C",9,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","6487960.30","C",202,"SA"
3226,"Auxiliares de enfermería","1347257.25","C",17,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4044953.50","C",160,"SCS"
2227,"Médico Especialista","3413167.10","C",308,"SA"
7125,"Encargado de Mantenimiento de Edificios","688411.30","C",125,"SA"
2411,"Contadores públicos y auditores","2089938.00","C",38,"SCS"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","975342.30","C",4,"SA"
9152,"Guardianes y porteros ","804127.30","C",18,"SA"
4211,"Cajeros","902720.00","C",5,"SCS"
9152,"Guardianes y porteros ","629100.95","C",24,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","6512538.00","C",55,"SA"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","609885.70","C",18,"SA"
2222,"Odontólogos","3892261.50","C",14,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2573692.00","C",104,"SA"
2227,"Médico Especialista","11702646.50","C",17,"SA"
7125,"Encargado de Mantenimiento de Edificios","620230.00","C",34,"SCS"
2222,"Odontólogos","1853906.40","C",8,"SA"
2221,"Médicos generales y especialistas","7840886.67","C",22,"SA"
3224,"Técnicos y asistentes en farmacia","917645.00","C",5,"SCS"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1173826.00","C",23,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","1103019.80","C",21,"SCS"
7125,"Encargado de Mantenimiento de Edificios","203386.85","C",60,"SA"
7125,"Encargado de Mantenimiento de Edificios","840657.63","C",72,"SA"
2227,"Médico Especialista","6216084.69","C",1,"SA"
2449,"Otros profesionales en ciencias sociales","1884772.50","C",11,"SCS"
3189,"Otros supervisores de personal","654770.19","C",56,"IC"
4131,"Empleados de control de abastecimiento e inventario","944266.00","C",18,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","1165297.70","C",9,"SA"
2227,"Médico Especialista","4126647.50","C",261,"SCS"
2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4438914.85","C",13,"SA"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4637288.40","C",16,"SCS"
3139,"Otros técnicos en informática","1084125.00","C",7,"SCS"
3224,"Técnicos y asistentes en farmacia","1574668.55","C",12,"SA"
7125,"Encargado de Mantenimiento de Edificios","675885.00","C",32,"SCS"
2445,"Psicólogos","3242267.00","C",1,"SCS"
7125,"Encargado de Mantenimiento de Edificios","599627.95","C",5,"SA"
2221,"Médicos generales y especialistas","3345435.70","C",47,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","10742701.55","C",52,"SA"
3229,"Otros técnicos de las ciencias de la salud","5473784.95","C",145,"SA"
4211,"Cajeros","969280.00","C",3,"SCS"
2221,"Médicos generales y especialistas","3423655.20","C",16,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2163447.50","C",78,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","6031413.04","C",303,"SA"
2227,"Médico Especialista","4076795.50","C",127,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","713940.00","C",121,"SCS"
9152,"Guardianes y porteros ","1035377.85","C",48,"SA"
5132,"Ayudantes de enfermería","973585.08","C",41,"SA"
9152,"Guardianes y porteros ","666610.00","C",12,"SA"
4149,"Oficinista","876390.00","C",70,"SCS"
5132,"Ayudantes de enfermería","1177777.30","C",450,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1542240.00","C",11,"SA"
3224,"Técnicos y asistentes en farmacia","1089466.00","C",25,"SCS"
2224,"Farmacéuticos","3688700.10","C",95,"SA"
3229,"Otros técnicos de las ciencias de la salud","1111489.30","C",19,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","547933.05","C",127,"SA"
7125,"Encargado de Mantenimiento de Edificios","819949.73","C",15,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2308384.50","C",15,"SCS"
7125,"Encargado de Mantenimiento de Edificios","701715.00","C",260,"SCS"
3229,"Otros técnicos de las ciencias de la salud","963741.05","C",6,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4911363.60","C",6,"SCS"
2221,"Médicos generales y especialistas","3740073.72","C",14,"SA"
3189,"Otros supervisores de personal","973824.45","C",2,"SA"
2445,"Psicólogos","1938513.00","C",99,"SCS"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","920220.00","C",12,"SCS"
3233,"Técnicos en operación de equipo para diagnóstico médico (Operadores electrocardiografía, electroencefalografía, etc.) ","928751.70","C",9,"SA"
7125,"Encargado de Mantenimiento de Edificios","776547.70","C",10,"SA"
2445,"Psicólogos","2750592.90","C",7,"SCS"
2221,"Médicos generales y especialistas","2840214.10","C",71,"SCS"
2132,"Programadores informáticos ","1191441.00","C",27,"SCS"
2411,"Contadores públicos y auditores","2126143.50","C",15,"SCS"
5132,"Ayudantes de enfermería","556387.65","C",94,"SA"
2227,"Médico Especialista","6793780.40","C",44,"SA"
9152,"Guardianes y porteros ","831066.78","C",13,"SA"
9152,"Guardianes y porteros ","978102.05","C",2,"SA"
9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","831600.00","C",39,"SCS"
1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4659050.20","C",12,"SCS"
5132,"Ayudantes de enfermería","817950.00","C",4,"SA"
7125,"Encargado de Mantenimiento de Edificios","1205533.30","C",24,"SA"
3224,"Técnicos y asistentes en farmacia","1016500.00","C",15,"SCS"
2227,"Médico Especialista","8695743.70","C",12,"SA"
2227,"Médico Especialista","5658045.83","C",355,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","926726.00","C",86,"SCS"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","1115106.00","C",39,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4301321.10","C",48,"SCS"
3122,"Técnicos y asistentes en estadística y demografía","1684457.90","C",14,"SA"
2449,"Otros profesionales en ciencias sociales","1588933.70","C",137,"SCS"
3419,"Otros técnicos en administración y en economía","2100148.50","C",85,"SCS"
2227,"Médico Especialista","9629724.50","C",52,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","820876.15","C",31,"SA"
2227,"Médico Especialista","2838474.90","C",181,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","10358793.10","C",94,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2634473.50","C",4,"SCS"
2411,"Contadores públicos y auditores","1408546.00","C",48,"SA"
3229,"Otros técnicos de las ciencias de la salud","999956.00","C",10,"SA"
8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","830296.00","C",12,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","2449626.00","C",19,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3868220.40","C",23,"SCS"
2132,"Programadores informáticos ","1221551.00","C",5,"SCS"
5132,"Ayudantes de enfermería","1018291.15","C",127,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","1034613.47","C",17,"SA"
5132,"Ayudantes de enfermería","953670.00","C",136,"SA"
3226,"Auxiliares de enfermería","1014699.00","C",3,"SCS"
2221,"Médicos generales y especialistas","3239666.42","C",12,"SA"
3122,"Técnicos y asistentes en estadística y demografía","1199053.60","C",22,"SA"
2226,"Enfermeros profesionales","2535802.20","C",8,"SA"
7125,"Encargado de Mantenimiento de Edificios","659875.95","C",49,"SA"
2449,"Otros profesionales en ciencias sociales","1770710.50","C",179,"SCS"
5132,"Ayudantes de enfermería","1408590.86","C",118,"SA"
2449,"Otros profesionales en ciencias sociales","1187557.00","C",9,"SCS"
7125,"Encargado de Mantenimiento de Edificios","567253.18","C",93,"SA"
5132,"Ayudantes de enfermería","827201.00","C",5,"SA"
3122,"Técnicos y asistentes en estadística y demografía","924180.00","C",84,"SCS"
3229,"Otros técnicos de las ciencias de la salud","1337414.01","C",110,"SA"
3229,"Otros técnicos de las ciencias de la salud","925351.75","C",80,"SA"
2445,"Psicólogos","937375.95","C",24,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5979586.59","C",207,"SA"
8229,"Otros operadores de máquinas para fabricar productos químicos","863282.50","C",12,"SA"
2221,"Médicos generales y especialistas","2297493.83","C",37,"SA"
5132,"Ayudantes de enfermería","566580.00","C",49,"SA"
2446,"Trabajadores sociales y orientadores sociales","1848353.20","C",3,"SCS"
5132,"Ayudantes de enfermería","946708.15","C",61,"SA"
3226,"Auxiliares de enfermería","802011.00","C",32,"SCS"
3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","756276.65","C",213,"SA"
2229,"Otros profesionales en ciencias de la salud","1196730.40","C",15,"SCS"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5809448.72","C",6,"SA"
2224,"Farmacéuticos","2647038.25","C",6,"SA"
3229,"Otros técnicos de las ciencias de la salud","1079946.11","C",31,"SA"
3229,"Otros técnicos de las ciencias de la salud","2201563.20","C",9,"SA"
2227,"Médico Especialista","6482569.20","C",10,"SA"
9152,"Guardianes y porteros ","1089768.35","C",60,"SA"
3229,"Otros técnicos de las ciencias de la salud","1667022.10","C",14,"SA"
3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","825605.00","C",3,"SCS"
5132,"Ayudantes de enfermería","751938.42","C",539,"SA"
2227,"Médico Especialista","6786347.68","C",162,"SA"
8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","1161436.89","C",6,"SA"
3229,"Otros técnicos de las ciencias de la salud","733608.01","C",52,"SA"
3226,"Auxiliares de enfermería","589323.00","C",395,"SCS"
8229,"Otros operadores de máquinas para fabricar productos químicos","977609.85","C",10,"SA"
4149,"Oficinista","541778.60","C",3,"SA"
1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","8596994.05","C",2,"SA"
3226,"Auxiliares de enfermería","1525502.40","C",36,"SA"
7125,"Encargado de Mantenimiento de Edificios","935264.90","C",8,"SA"
4223,"Telefonistas","1363958.75","C",47,"SA"
7125,"Encargado de Mantenimiento de Edificios","1569895.15","C",18,"SA"
5132,"Ayudantes de enfermería","917786.00","C",188,"SA"
7125,"Encargado de Mantenimiento de Edificios","1068273.90","C",308,"SA"
3226,"Auxiliares de enfermería","1003557.70","C",277,"SCS"
5132,"Ayudantes de enfermería","633495.00","C",1,"SA"
1124,"Jefes de sección de instituciones públicas y empresas privadas","1224217.70","C",110,"SCS"
8229,"Otros operadores de máquinas para fabricar productos químicos","805697.45","C",37,"SA"
3412,"Técnicos y asistentes en recursos humanos","1003537.95","C",12,"SA"
9152,"Guardianes y porteros ","856457.04","C",69,"SA"
2227,"Médico Especialista","4094023.80","C",272,"SCS"
